user_id,device,user_type,country,traffic_source,time_on _site,n_pages_visited,added,bought
10216,Desktop,Returning,France,Direct,159,0,No,No
10217,Desktop,Returning,Netherlands,Search,362,5,No,No
10218,Desktop,New,France,Search,56,2,No,No
10219,Desktop,New,Germany,Discovery,4,3,No,No
10220,Desktop,Returning,Netherlands,Discovery,259,0,No,No
10221,Desktop,Returning,Other,Search,64,4,No,No
10222,Mobile,Returning,Other,Discovery,0,0,No,No
10223,Mobile,Returning,Netherlands,Direct,67,0,No,No
10224,Mobile,Returning,Other,Direct,27,0,No,No
10225,Desktop,New,Other,Discovery,0,2,No,No
10226,Mobile,Returning,Other,Discovery,161,2,No,No
10227,Desktop,Returning,Germany,Search,63,2,Yes,Yes
10228,Desktop,New,Germany,Discovery,65,4,No,No
10229,Desktop,Returning,France,Direct,64,1,No,No
10230,Desktop,Returning,United Kingdom,Search,164,0,Yes,No
10231,Desktop,Returning,United Kingdom,Direct,540,10,No,No
10232,Desktop,Returning,France,Direct,391,4,No,No
10233,Desktop,Returning,Netherlands,Direct,14,0,No,No
10234,Desktop,Returning,United Kingdom,Direct,50,1,No,No
10235,Desktop,Returning,Other,Search,261,4,No,No
10236,Desktop,Returning,Other,Search,8,3,No,No
10237,Desktop,Returning,Other,Discovery,29,0,Yes,No
10238,Desktop,Returning,United Kingdom,Discovery,119,0,No,No
10239,Desktop,Returning,Netherlands,Search,142,0,No,No
10240,Desktop,Returning,Germany,Discovery,483,2,No,No
10241,Desktop,Returning,Germany,Direct,455,0,No,No
10242,Mobile,Returning,Other,Discovery,64,7,No,No
10243,Desktop,Returning,Netherlands,Discovery,22,7,No,No
10244,Desktop,Returning,Germany,Direct,125,2,No,No
10245,Desktop,New,France,Discovery,150,0,No,No
10246,Desktop,New,United Kingdom,Direct,529,2,No,No
10247,Mobile,Returning,Netherlands,Direct,102,3,No,No
10248,Mobile,Returning,United Kingdom,Search,11,2,No,No
10249,Desktop,Returning,France,Direct,582,7,No,No
10250,Desktop,Returning,France,Direct,64,5,No,No
10251,Desktop,Returning,Netherlands,Direct,65,8,No,No
10252,Desktop,Returning,France,Discovery,27,5,No,No
10253,Mobile,Returning,Germany,Search,11,6,No,No
10254,Desktop,Returning,France,Search,88,6,Yes,Yes
10255,Desktop,Returning,Germany,Search,16,3,No,No
10256,Desktop,Returning,Germany,Direct,466,1,No,No
10257,Desktop,Returning,United Kingdom,Discovery,60,0,Yes,No
10258,Mobile,Returning,Other,Direct,102,2,No,No
10259,Mobile,New,Germany,Direct,5,2,No,No
10260,Desktop,Returning,Netherlands,Search,196,1,No,No
10261,Mobile,Returning,Germany,Direct,272,0,No,No
10262,Mobile,Returning,France,Discovery,61,3,No,No
10263,Mobile,Returning,Netherlands,Direct,46,2,No,No
10264,Mobile,New,Netherlands,Direct,147,8,No,No
10265,Desktop,Returning,Netherlands,Direct,364,1,No,No
10266,Mobile,Returning,Other,Discovery,7,3,No,No
10267,Mobile,Returning,Netherlands,Direct,196,0,No,No
10268,Desktop,Returning,France,Direct,70,7,No,No
10269,Desktop,Returning,Netherlands,Discovery,458,8,Yes,No
10270,Desktop,Returning,France,Discovery,187,1,No,No
10271,Desktop,Returning,Other,Search,109,0,No,No
10272,Mobile,Returning,France,Search,116,1,No,No
10273,Desktop,Returning,Other,Discovery,306,0,No,No
10274,Desktop,Returning,Netherlands,Discovery,211,5,No,No
10275,Mobile,Returning,Netherlands,Discovery,86,1,No,No
10276,Desktop,Returning,Other,Discovery,1,0,No,No
10277,Desktop,Returning,United Kingdom,Search,3,0,Yes,Yes
10278,Mobile,New,Germany,Direct,61,2,No,No
10279,Mobile,Returning,Other,Discovery,117,0,No,No
10280,Desktop,Returning,United Kingdom,Search,474,5,Yes,No
10281,Desktop,Returning,United Kingdom,Search,214,1,No,No
10282,Mobile,Returning,France,Direct,269,7,No,No
10283,Mobile,Returning,Other,Direct,119,4,No,No
10284,Desktop,Returning,Other,Discovery,147,5,Yes,No
10285,Desktop,Returning,France,Direct,637,4,No,No
10286,Desktop,Returning,Netherlands,Discovery,205,8,No,No
10287,Desktop,Returning,Other,Search,367,6,No,No
10288,Desktop,Returning,Germany,Discovery,64,1,No,No
10289,Mobile,Returning,Netherlands,Discovery,16,4,No,No
10290,Mobile,Returning,France,Search,57,0,No,No
10291,Desktop,Returning,Other,Direct,302,5,No,No
10292,Desktop,Returning,Netherlands,Search,2,3,No,No
10293,Desktop,Returning,Other,Search,199,3,No,No
10294,Mobile,Returning,Germany,Discovery,535,0,No,No
10295,Desktop,New,France,Direct,545,4,No,No
10296,Desktop,Returning,Germany,Direct,362,2,No,No
10297,Desktop,Returning,Germany,Search,102,6,No,No
10298,Desktop,Returning,Germany,Search,236,2,Yes,No
10299,Mobile,Returning,Other,Direct,288,4,No,No
10300,Desktop,Returning,France,Direct,24,3,No,No
10301,Mobile,Returning,Other,Direct,194,5,No,No
10302,Desktop,Returning,Netherlands,Discovery,354,1,No,No
10303,Desktop,Returning,France,Discovery,93,1,No,No
10304,Desktop,Returning,Germany,Search,75,4,No,No
10305,Desktop,Returning,United Kingdom,Discovery,39,0,Yes,Yes
10306,Desktop,New,Germany,Search,464,0,No,No
10307,Desktop,Returning,Netherlands,Direct,262,0,No,No
10308,Desktop,Returning,United Kingdom,Discovery,38,5,No,No
10309,Desktop,Returning,Germany,Discovery,5,0,No,No
10310,Desktop,Returning,Germany,Discovery,23,3,Yes,No
10311,Desktop,Returning,France,Direct,81,2,No,No
10312,Mobile,Returning,Germany,Direct,81,1,No,No
10313,Desktop,Returning,Netherlands,Discovery,271,1,No,No
10314,Desktop,Returning,Other,Direct,454,1,No,No
10315,Desktop,Returning,France,Discovery,205,2,Yes,No
10316,Desktop,Returning,Other,Search,55,7,No,No
10317,Desktop,Returning,Other,Search,439,2,No,No
10318,Desktop,New,Other,Search,518,1,No,No
10319,Desktop,Returning,United Kingdom,Direct,73,0,No,No
10320,Mobile,Returning,Netherlands,Direct,110,1,No,No
10321,Desktop,Returning,Other,Search,307,1,Yes,No
10322,Desktop,New,Netherlands,Discovery,118,9,No,No
10323,Desktop,Returning,Other,Discovery,158,0,No,No
10324,Mobile,Returning,France,Search,519,4,No,No
10325,Desktop,Returning,Germany,Direct,17,5,No,No
10326,Desktop,Returning,Germany,Discovery,609,1,No,No
10327,Desktop,Returning,Netherlands,Direct,49,1,No,No
10328,Desktop,Returning,Other,Discovery,296,2,No,No
10329,Desktop,Returning,United Kingdom,Direct,63,0,No,No
10330,Desktop,Returning,Netherlands,Search,105,0,No,No
10331,Desktop,Returning,France,Discovery,193,3,No,No
10332,Desktop,Returning,United Kingdom,Direct,31,1,No,No
10333,Desktop,Returning,Germany,Discovery,24,3,No,No
10334,Desktop,Returning,Germany,Search,240,8,No,No
10335,Desktop,Returning,Netherlands,Direct,48,0,No,No
10336,Desktop,New,France,Direct,1,7,No,No
10337,Desktop,Returning,Other,Direct,384,4,No,No
10338,Desktop,Returning,Germany,Discovery,264,0,No,No
10339,Mobile,Returning,United Kingdom,Direct,358,0,No,No
10340,Desktop,Returning,United Kingdom,Discovery,379,1,No,No
10341,Desktop,Returning,Germany,Direct,20,0,No,No
10342,Desktop,Returning,Other,Direct,103,4,No,No
10343,Mobile,New,France,Discovery,5,3,No,No
10344,Mobile,Returning,Germany,Direct,394,3,No,No
10345,Desktop,Returning,France,Search,595,2,Yes,No
10346,Desktop,Returning,France,Direct,64,1,No,No
10347,Desktop,Returning,France,Discovery,18,5,No,No
10348,Desktop,Returning,United Kingdom,Discovery,39,4,Yes,No
10349,Desktop,Returning,Netherlands,Search,630,2,No,No
10350,Desktop,Returning,Germany,Direct,279,4,No,No
10351,Desktop,Returning,Germany,Direct,38,0,No,No
10352,Mobile,Returning,Germany,Direct,246,0,No,No
10353,Desktop,New,Other,Direct,13,1,No,No
10354,Mobile,Returning,France,Discovery,35,0,No,No
10355,Desktop,Returning,United Kingdom,Search,111,3,Yes,No
10356,Desktop,Returning,Other,Direct,137,0,No,No
10357,Desktop,New,France,Direct,1,2,No,No
10358,Desktop,Returning,United Kingdom,Discovery,374,4,Yes,No
10359,Desktop,Returning,Netherlands,Direct,3,1,No,No
10360,Desktop,Returning,United Kingdom,Direct,119,1,No,No
10361,Mobile,Returning,Other,Discovery,272,2,No,No
10362,Desktop,Returning,Germany,Search,270,0,No,No
10363,Desktop,Returning,France,Direct,185,1,No,No
10364,Desktop,Returning,France,Discovery,35,2,No,No
10365,Desktop,New,Other,Search,412,4,No,No
10366,Desktop,Returning,Netherlands,Discovery,382,0,No,No
10367,Mobile,Returning,Other,Direct,152,4,No,No
10368,Desktop,Returning,United Kingdom,Discovery,117,3,No,No
10369,Desktop,New,Netherlands,Direct,488,1,No,No
10370,Desktop,Returning,Netherlands,Search,85,8,No,No
10371,Desktop,Returning,Germany,Search,223,0,No,No
10372,Mobile,Returning,Germany,Direct,547,1,No,No
10373,Desktop,New,Germany,Direct,384,1,No,No
10374,Desktop,Returning,United Kingdom,Discovery,47,5,No,No
10375,Desktop,Returning,Netherlands,Direct,170,0,No,No
10376,Desktop,Returning,Germany,Discovery,77,2,No,No
10377,Desktop,Returning,Germany,Search,623,0,No,No
10378,Desktop,Returning,France,Search,107,1,No,No
10379,Mobile,Returning,Germany,Direct,60,0,No,No
10380,Desktop,Returning,France,Direct,119,2,No,No
10381,Desktop,Returning,France,Direct,35,0,No,No
10382,Desktop,Returning,Other,Search,13,1,No,No
10383,Mobile,Returning,Netherlands,Discovery,1,4,No,No
10384,Desktop,Returning,Netherlands,Direct,427,1,No,No
10385,Desktop,Returning,Other,Search,134,6,Yes,No
10386,Desktop,Returning,Netherlands,Direct,153,0,No,No
10387,Mobile,Returning,United Kingdom,Discovery,126,3,No,No
10388,Mobile,Returning,Germany,Direct,22,1,No,No
10389,Mobile,New,Other,Search,278,1,No,No
10390,Desktop,Returning,United Kingdom,Search,172,1,Yes,No
10391,Desktop,Returning,Other,Direct,63,2,No,No
10392,Desktop,Returning,France,Search,441,2,No,No
10393,Desktop,New,France,Direct,229,1,No,No
10394,Desktop,Returning,Germany,Search,31,0,No,No
10395,Desktop,Returning,United Kingdom,Search,1,1,No,No
10396,Desktop,New,Germany,Search,675,6,No,No
10397,Mobile,Returning,Germany,Discovery,46,2,No,No
10398,Desktop,Returning,Netherlands,Direct,63,1,No,No
10399,Mobile,Returning,France,Direct,155,3,No,No
10400,Mobile,Returning,United Kingdom,Search,150,3,No,No
10401,Mobile,Returning,France,Discovery,235,3,No,No
10402,Desktop,Returning,Other,Direct,109,3,No,No
10403,Desktop,Returning,Other,Direct,86,1,No,No
10404,Mobile,Returning,Netherlands,Discovery,66,3,No,No
10405,Mobile,Returning,Netherlands,Direct,228,8,No,No
10406,Desktop,Returning,Germany,Direct,12,4,No,No
10407,Desktop,New,Other,Discovery,81,0,No,No
10408,Desktop,Returning,Germany,Direct,45,2,No,No
10409,Desktop,New,Netherlands,Discovery,543,7,No,No
10410,Desktop,Returning,France,Discovery,105,0,No,No
10411,Desktop,Returning,France,Direct,69,2,No,No
10412,Mobile,Returning,Germany,Direct,94,8,No,No
10413,Desktop,New,Germany,Search,156,3,No,No
10414,Mobile,Returning,Other,Discovery,69,3,No,No
10415,Mobile,Returning,France,Discovery,30,1,No,No
10416,Desktop,Returning,Germany,Discovery,625,3,No,No
10417,Desktop,Returning,United Kingdom,Direct,211,0,No,No
10418,Desktop,Returning,United Kingdom,Discovery,80,1,No,No
10419,Desktop,Returning,Germany,Search,30,1,No,No
10420,Mobile,Returning,United Kingdom,Discovery,34,0,No,No
10421,Mobile,Returning,United Kingdom,Search,200,5,No,No
10422,Mobile,Returning,Other,Discovery,361,2,No,No
10423,Desktop,Returning,United Kingdom,Discovery,30,3,No,No
10424,Desktop,Returning,France,Direct,8,2,No,No
10425,Desktop,Returning,United Kingdom,Discovery,32,4,Yes,No
10426,Desktop,Returning,Other,Search,241,1,No,No
10427,Desktop,Returning,Netherlands,Discovery,300,2,No,No
10428,Desktop,Returning,France,Search,35,4,No,No
10429,Desktop,Returning,Netherlands,Discovery,75,0,No,No
10430,Desktop,Returning,United Kingdom,Search,13,1,No,No
10431,Mobile,Returning,Germany,Discovery,268,6,No,No
10432,Desktop,Returning,Netherlands,Search,356,1,No,No
10433,Desktop,Returning,United Kingdom,Search,421,8,Yes,No
10434,Desktop,New,Germany,Discovery,18,4,No,No
10435,Mobile,Returning,Germany,Discovery,6,9,No,No
10436,Mobile,Returning,United Kingdom,Search,133,1,No,No
10437,Desktop,Returning,Other,Search,184,0,No,No
10438,Mobile,Returning,France,Discovery,11,0,No,No
10439,Desktop,Returning,Netherlands,Discovery,201,1,No,No
10440,Mobile,Returning,Netherlands,Discovery,0,5,No,No
10441,Desktop,New,France,Direct,368,1,No,No
10442,Mobile,New,United Kingdom,Direct,2,2,No,No
10443,Desktop,Returning,France,Discovery,142,4,No,No
10444,Desktop,Returning,Other,Discovery,18,7,No,No
10445,Desktop,Returning,United Kingdom,Direct,143,3,No,No
10446,Mobile,Returning,United Kingdom,Direct,1,0,No,No
10447,Desktop,New,France,Discovery,13,1,No,No
10448,Mobile,Returning,Other,Discovery,211,4,No,No
10449,Mobile,Returning,United Kingdom,Discovery,12,3,No,No
10450,Mobile,Returning,Netherlands,Direct,576,3,No,No
10451,Mobile,Returning,Germany,Discovery,73,4,No,No
10452,Desktop,Returning,Germany,Search,42,1,No,No
10453,Mobile,New,Other,Search,134,4,No,No
10454,Desktop,Returning,United Kingdom,Discovery,282,6,Yes,Yes
10455,Desktop,Returning,Germany,Discovery,231,0,No,No
10456,Desktop,Returning,Netherlands,Discovery,133,8,No,No
10457,Mobile,Returning,Germany,Direct,207,8,No,No
10458,Desktop,Returning,France,Search,84,0,No,No
10459,Desktop,Returning,United Kingdom,Discovery,75,2,No,No
10460,Mobile,Returning,Other,Discovery,261,1,No,No
10461,Desktop,Returning,Germany,Discovery,195,0,No,No
10462,Desktop,Returning,Germany,Direct,12,2,No,No
10463,Desktop,Returning,United Kingdom,Search,14,1,Yes,No
10464,Desktop,Returning,Other,Direct,14,4,No,No
10465,Desktop,Returning,Netherlands,Direct,171,2,No,No
10466,Desktop,Returning,Netherlands,Direct,233,2,No,No
10467,Desktop,Returning,France,Discovery,683,1,Yes,Yes
10468,Desktop,Returning,Netherlands,Discovery,80,4,No,No
10469,Desktop,New,Other,Discovery,146,1,No,No
10470,Desktop,Returning,France,Discovery,149,3,Yes,No
10471,Desktop,Returning,United Kingdom,Discovery,85,2,Yes,No
10472,Mobile,New,Other,Discovery,6,4,No,No
10473,Desktop,Returning,United Kingdom,Discovery,0,0,Yes,Yes
10474,Desktop,Returning,United Kingdom,Search,23,3,No,No
10475,Desktop,Returning,Netherlands,Discovery,100,3,No,No
10476,Mobile,Returning,Netherlands,Direct,265,3,No,No
10477,Desktop,Returning,Netherlands,Search,479,8,No,No
10478,Desktop,Returning,Other,Discovery,83,4,No,No
10479,Desktop,Returning,Other,Direct,198,1,No,No
10480,Desktop,New,Netherlands,Direct,96,2,No,No
10481,Desktop,Returning,Netherlands,Direct,9,0,No,No
10482,Desktop,Returning,Netherlands,Discovery,182,0,No,No
10483,Desktop,Returning,United Kingdom,Discovery,369,8,No,No
10484,Mobile,Returning,Other,Discovery,209,1,No,No
10485,Desktop,Returning,Other,Direct,37,2,No,No
10486,Mobile,Returning,Other,Discovery,2,0,No,No
10487,Desktop,Returning,Netherlands,Direct,471,1,No,No
10488,Desktop,Returning,Other,Search,139,1,No,No
10489,Desktop,Returning,Netherlands,Search,16,0,Yes,Yes
